title,series_type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
Hannibal Buress: Comedy Camisado,MOVIE,2016,R,67,comedy,US,tt5352432,6.6,1517
Baki Hanma,SHOW,2021,TV-MA,24,"thriller, animation, action, drama, sport",JP,tt13357140,6.6,1483
Jack Whitehall: I'm Only Joking,MOVIE,2020,,58,comedy,GB,tt12588432,6.6,1468
Umrika,MOVIE,2015,,98,"drama, comedy",IN,tt3995590,6.6,1463
The Invisible Thread,MOVIE,2022,,109,"drama, comedy, family",IT,tt14540892,6.6,1432
The Lion Woman,MOVIE,2016,PG-13,126,"drama, european","NO, SE",tt4677578,6.6,1408
I'll Sleep When I'm Dead,MOVIE,2016,,82,documentation,US,tt4679136,6.6,1358
Mobile Suit Gundam Hathaway,MOVIE,2021,PG-13,96,"drama, romance, scifi, animation, action",JP,tt13288678,6.6,1331
Tig Notaro: Happy To Be Here,MOVIE,2018,,58,comedy,XX,tt8342946,6.6,1327
Joy,MOVIE,2018,,99,"drama, european",AT,tt8917752,6.6,1293
The Standups,SHOW,2017,TV-MA,30,comedy,US,tt15250768,6.6,1225
Marilyn's Eyes,MOVIE,2021,,110,"comedy, drama",IT,tt13313408,6.6,1215
Lens,MOVIE,2016,,109,"thriller, drama",IN,tt4818776,6.6,1212
Persona,SHOW,2019,TV-MA,22,drama,KR,tt10027990,6.6,1164
Iron Fists and Kung Fu Kicks,MOVIE,2019,,108,"documentation, history",AU,tt10255782,6.6,1146
Eden,SHOW,2021,TV-PG,25,"scifi, fantasy, animation, action, drama, family",JP,tt10545250,6.6,1111
Def Comedy Jam 25,MOVIE,2017,,81,"comedy, documentation",US,tt7427130,6.6,1096
Buddies,MOVIE,2013,,94,"drama, comedy, documentation, european",BR,tt1179259,6.6,1076
Puriyaatha Puthir,MOVIE,2017,,140,thriller,IN,tt3407614,6.6,1032
Craig Ferguson: Tickle Fight,MOVIE,2017,,66,comedy,US,tt7193448,6.6,995
Spirit: Riding Free,SHOW,2017,TV-Y7,23,"action, animation, comedy, drama, family, western, documentation",US,tt11942070,6.6,993
Shadow,SHOW,2019,TV-MA,43,"action, crime, drama, thriller",ZA,tt9817236,6.6,956
Back Street Girls: Goku Dolls,SHOW,2018,TV-MA,24,"comedy, animation",JP,tt8693818,6.6,815
Amazing Interiors,SHOW,2018,TV-PG,26,documentation,"US, GB",tt8747342,6.6,797
Zero to Hero,MOVIE,2021,,102,"drama, sport",HK,tt14892216,6.6,792
Birdshot,MOVIE,2017,,116,"thriller, drama",PH,tt6159150,6.6,781
Asperger's Are Us,MOVIE,2016,,83,"documentation, comedy, drama",US,tt4991844,6.6,737
World of Winx,SHOW,2016,TV-Y7,23,"action, animation, comedy, family, fantasy, european","US, IT",tt5874596,6.6,715
Blessed Benefit,MOVIE,2017,,83,"comedy, drama, european","NL, JO, DE",tt5161784,6.6,665
Twelve Forever,SHOW,2019,TV-PG,22,"animation, action, comedy, family, fantasy",US,tt8009622,6.6,664
"Surviving Compton: Dre, Suge and Michel'le",MOVIE,2016,,87,"drama, documentation",US,tt8070856,6.6,645
Crossroads: One Two Jaga,MOVIE,2018,,80,"drama, crime",MY,tt6603812,6.6,634
Milestone,MOVIE,2020,,98,drama,IN,tt12779208,6.6,613
D.L. Hughley: Contrarian,MOVIE,2018,,58,comedy,US,tt8426270,6.6,606
Dollar,SHOW,2019,,28,"drama, romance, action",LB,tt10687564,6.6,592
Back to 15,SHOW,2022,TV-14,39,"comedy, drama",BR,tt15301854,6.6,574
